GLOBALEVENTID,SQLDATE,AvgTone,NumArticles,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FullName,SOURCEURL
780510386,20180819,-1.07526881720431,1,10.0,76.5,"Kerala, Kerala, India",https://indianexpress.com/article/india/kerala-floods-after-6-days-of-deluge-help-reaches-marooned-mental-health-home-with-400-patients-5314768/
780510609,20180819,-3.33839150227618,1,9.49417,76.3275,"Alappuzha, Kerala, India",https://indianexpress.com/article/india/kerala-floods-leading-rescue-fishermen-who-braved-ockhi-5314715/
780510610,20180819,-3.33839150227618,7,9.98333,76.2833,"Ernakulam, Kerala, India",https://indianexpress.com/article/india/kerala-floods-leading-rescue-fishermen-who-braved-ockhi-5314715/
780510622,20180819,-3.33839150227618,1,9.49417,76.3275,"Alappuzha, Kerala, India",https://indianexpress.com/article/india/kerala-floods-leading-rescue-fishermen-who-braved-ockhi-5314715/
780510623,20180819,-3.33839150227618,1,9.98333,76.2833,"Ernakulam, Kerala, India",https://indianexpress.com/article/india/kerala-floods-leading-rescue-fishermen-who-braved-ockhi-5314715/
780510741,20180819,0.947316537018373,12,10.0,76.5,"Kerala, Kerala, India",https://indianexpress.com/article/india/kerala-floods-after-6-days-of-deluge-help-reaches-marooned-mental-health-home-with-400-patients-5314768/
780510774,20180819,-1.07526881720431,2,10.0,76.5,"Kerala, Kerala, India",https://indianexpress.com/article/india/kerala-floods-after-6-days-of-deluge-help-reaches-marooned-mental-health-home-with-400-patients-5314768/
780510778,20180819,-1.07526881720431,2,10.0,76.5,"Kerala, Kerala, India",https://indianexpress.com/article/india/kerala-floods-after-6-days-of-deluge-help-reaches-marooned-mental-health-home-with-400-patients-5314768/
780510794,20180819,-0.277777777777779,3,10.0,76.5,"Kerala, Kerala, India",https://indianexpress.com/article/cities/mumbai/kerala-floods-maharashtra-govt-sets-up-24x7-relief-centre-5314776/
780510796,20180819,-0.277777777777779,1,10.0,76.5,"Kerala, Kerala, India",https://indianexpress.com/article/cities/mumbai/kerala-floods-maharashtra-govt-sets-up-24x7-relief-centre-5314776/
780510797,20180819,-0.277777777777779,1,8.50694,76.9569,"Trivandrum, Kerala, India",https://indianexpress.com/article/cities/mumbai/kerala-floods-maharashtra-govt-sets-up-24x7-relief-centre-5314776/
780510827,20180819,-3.33839150227618,1,8.51667,76.8833,"Veli, Kerala, India",https://indianexpress.com/article/india/kerala-floods-leading-rescue-fishermen-who-braved-ockhi-5314715/
780510834,20180819,-1.07526881720431,2,10.0,76.5,"Kerala, Kerala, India",https://indianexpress.com/article/india/kerala-floods-after-6-days-of-deluge-help-reaches-marooned-mental-health-home-with-400-patients-5314768/
780510837,20180819,0.86505190311418,2,10.0,76.5,"Kerala, Kerala, India",https://indianexpress.com/article/india/faceless-volunteers-untiring-work-to-reach-out-to-those-in-distress-in-flood-hit-kerala-5314732/
780510843,20180819,-3.33839150227618,1,9.49417,76.3275,"Alappuzha, Kerala, India",https://indianexpress.com/article/india/kerala-floods-leading-rescue-fishermen-who-braved-ockhi-5314715/
780510844,20180819,-3.33839150227618,1,9.98333,76.2833,"Ernakulam, Kerala, India",https://indianexpress.com/article/india/kerala-floods-leading-rescue-fishermen-who-braved-ockhi-5314715/
780510845,20180819,-1.07526881720431,1,10.0,76.5,"Kerala, Kerala, India",https://indianexpress.com/article/india/kerala-floods-after-6-days-of-deluge-help-reaches-marooned-mental-health-home-with-400-patients-5314768/
780510847,20180819,0.86505190311418,1,10.0,76.5,"Kerala, Kerala, India",https://indianexpress.com/article/india/faceless-volunteers-untiring-work-to-reach-out-to-those-in-distress-in-flood-hit-kerala-5314732/
780510944,20180819,-1.07526881720431,10,10.0,76.5,"Kerala, Kerala, India",https://indianexpress.com/article/india/kerala-floods-after-6-days-of-deluge-help-reaches-marooned-mental-health-home-with-400-patients-5314768/
780510972,20180819,-3.33839150227618,5,8.50694,76.9569,"Thiruvananthapuram, Kerala, India",https://indianexpress.com/article/india/kerala-floods-leading-rescue-fishermen-who-braved-ockhi-5314715/
780510999,20180819,1.73913043478261,5,10.0,76.5,"Kerala, Kerala, India",https://www.thehindu.com/news/cities/Thiruvananthapuram/central-aid-inadequate-yechury/article24733020.ece
780511871,20180812,-2.04081632653061,6,10.0,76.5,"Kerala, Kerala, India",http://www.khaleejtimes.com/technology/us-tech-giants-lobbying-against-indias-data-localisation-plans-1
780512044,20180819,-2.04081632653061,4,10.0,76.5,"Kerala, Kerala, India",http://www.khaleejtimes.com/technology/us-tech-giants-lobbying-against-indias-data-localisation-plans-1
780512092,20180819,-1.14285714285715,2,10.0,76.5,"Kerala, Kerala, India",https://www.siasat.com/news/dy-cm-asks-people-help-kerala-ali-offers-month-salary-1394909/
780512093,20180819,-1.14285714285715,5,10.0,76.5,"Kerala, Kerala, India",https://www.siasat.com/news/dy-cm-asks-people-help-kerala-ali-offers-month-salary-1394909/
780512191,20180819,-3.18352059925094,2,9.85,76.9667,"Idukki, Kerala, India",https://timesofindia.indiatimes.com/india/kerala-toll-goes-past-200-as-floodwaters-start-receding/articleshow/65465649.cms
780512238,20180819,-3.18352059925094,4,9.85,76.9667,"Idukki, Kerala, India",https://timesofindia.indiatimes.com/india/kerala-toll-goes-past-200-as-floodwaters-start-receding/articleshow/65465649.cms
780512239,20180819,-3.18352059925094,1,10.0,76.5,"Kerala, Kerala, India",https://timesofindia.indiatimes.com/india/kerala-toll-goes-past-200-as-floodwaters-start-receding/articleshow/65465649.cms
780512249,20180819,-3.18352059925094,2,10.0,76.5,"Kerala, Kerala, India",https://timesofindia.indiatimes.com/india/kerala-toll-goes-past-200-as-floodwaters-start-receding/articleshow/65465649.cms
780512250,20180819,-3.18352059925094,2,10.0,76.5,"Kerala, Kerala, India",https://timesofindia.indiatimes.com/india/kerala-toll-goes-past-200-as-floodwaters-start-receding/articleshow/65465649.cms
780512277,20180819,0.34782608695652,2,10.0,76.5,"Kerala, Kerala, India",https://www.khaleejtimes.com/international/india/chennai-group-steps-in-to-help-flood-hit
780512375,20180819,-2.04081632653061,20,10.0,76.5,"Kerala, Kerala, India",http://www.khaleejtimes.com/technology/us-tech-giants-lobbying-against-indias-data-localisation-plans-1
780512627,20180819,-2.04081632653061,10,10.0,76.5,"Kerala, Kerala, India",http://www.khaleejtimes.com/technology/us-tech-giants-lobbying-against-indias-data-localisation-plans-1
780513533,20180819,-3.68098159509203,10,9.49417,76.3275,"Alappuzha, Kerala, India",https://www.hindustantimes.com/india-news/dead-are-gone-must-save-the-living-rescue-efforts-continue-in-kerala/story-W0cM9AVRVrGrvxVZUsUinN.html
780513534,20180819,-3.68098159509203,10,9.33333,76.6333,"Chengannur, Kerala, India",https://www.hindustantimes.com/india-news/dead-are-gone-must-save-the-living-rescue-efforts-continue-in-kerala/story-W0cM9AVRVrGrvxVZUsUinN.html
780513548,20180819,-3.68098159509203,10,9.33333,76.6333,"Chengannur, Kerala, India",https://www.hindustantimes.com/india-news/dead-are-gone-must-save-the-living-rescue-efforts-continue-in-kerala/story-W0cM9AVRVrGrvxVZUsUinN.html
780513574,20180819,-3.68098159509203,8,9.49417,76.3275,"Alappuzha, Kerala, India",https://www.hindustantimes.com/india-news/dead-are-gone-must-save-the-living-rescue-efforts-continue-in-kerala/story-W0cM9AVRVrGrvxVZUsUinN.html
780513690,20180819,-3.83036935704514,1,10.0,76.5,"Kerala, Kerala, India",http://www.samoaobserver.ws/en/20_08_2018/world/36066/800000-displaced-in-flooding-in-southern-Indian-state.htm
780513745,20180819,-3.48692403486924,2,10.0,76.5,"Kerala, Kerala, India",http://www.newsindiatimes.com/kerala-toll-370-over-7-lakh-in-camps/37374
780516373,20180819,-1.05042016806722,4,8.50694,76.9569,"Thiruvananthapuram, Kerala, India",http://www.gdnonline.com/Details/387560
780516459,20180819,-1.05042016806722,2,10.0,76.5,"Kerala, Kerala, India",http://www.gdnonline.com/Details/387560
780516460,20180819,-1.05042016806722,2,8.50694,76.9569,"Thiruvananthapuram, Kerala, India",http://www.gdnonline.com/Details/387560
