city_label,total_reports,mean_sentiment,neg_reports,mean_ndvi,mean_ndwi,risk_score
"Trichur, Kerala, India",6,-1.80228882513454,0,0.2647817245148008,-0.16311209971036458,0.10265484695380299
"Nemmara, Kerala, India",1,-1.8018018018018,0,0.2647817245148008,-0.16311209971036458,0.10264455839165776
"Alleppey, Kerala, India",11,-1.6183594025175834,0,0.2647817245148008,-0.16311209971036458,0.09876926454385798
"Vypin, Kerala, India",1,-1.21951219512195,0,0.2647817245148008,-0.16311209971036458,0.09034345821411371
"Kayamkulam, Kerala, India",13,-0.97570820212013,0,0.2647817245148008,-0.16311209971036458,0.08519300162482146
"Kallar, Kerala, India",5,-0.81343479401732,0,0.2647817245148008,-0.16311209971036458,0.08176491115862555
"Edapally, Kerala, India",3,-0.7832206493820634,0,0.2647817245148008,-0.16311209971036458,0.08112662530280151
"Vazhani, Kerala, India",2,-0.75187969924812,0,0.2647817245148008,-0.16311209971036458,0.08046453523141024
"Palghat, Kerala, India",1,-0.38461538461538,0,0.2647817245148008,-0.16311209971036458,0.07270593010758857
"Malabar, Kerala, India",14,0.15281942308166857,2,0.2647817245148008,-0.16311209971036458,0.06271992681566098
"Varkala, Kerala, India",2,0.520183475566965,0,0.2647817245148008,-0.16311209971036458,0.053591693322403905
"Urakam, Kerala, India",6,0.91743119266055,0,0.2647817245148008,-0.16311209971036458,0.04519967686322027
"Pallippuram, Kerala, India",2,0.964222738428415,0,0.2647817245148008,-0.16311209971036458,0.04421118679685178
"Parambikulam, Kerala, India",2,2.04678362573099,0,0.2647817245148008,-0.16311209971036458,0.021341656291352592
"Vypeen, Kerala, India",1,3.05702047190139,0,0.2647817245148008,-0.16311209971036458,0.0
