Region,Priority,Risk_Score,Total_Reports,Negative_Reports,Mean_Sentiment,Allocation_Percentage,Total_Allocation_USD,Emergency_Relief_USD,Medical_Supplies_USD,Rescue_Equipment_USD,Rehabilitation_USD
 Kerala,LOW,0.123074,11,0,-2.76885,0.015024428300603134,15024.428300603135,6009.771320241254,3756.1070751507837,2253.66424509047,3004.885660120627
 Kerala,LOW,0.120507,3,0,-2.64736,0.014574847288836536,14574.847288836536,5829.938915534614,3643.711822209134,2186.2270933254804,2914.969457767307
 Kerala,MEDIUM,0.120331,43,6,-2.44483,0.014272891675403321,14272.891675403322,5709.156670161329,3568.2229188508304,2140.9337513104983,2854.5783350806646
 Kerala,LOW,0.115664,8,0,-2.4181,0.013806670760006983,13806.670760006982,5522.668304002793,3451.6676900017455,2071.0006140010473,2761.3341520013964
 Kochi,MEDIUM,0.113887,51,9,-2.04268,0.01303970399616663,13039.70399616663,5215.881598466653,3259.9259990416576,1955.9555994249945,2607.9407992333263
 Kerala,LOW,0.113121,184,4,-2.16828,0.013806376152710286,13806.376152710285,5522.550461084114,3451.5940381775713,2070.9564229065427,2761.275230542057
 Kerala,MEDIUM,0.112802,47,7,-2.05606,0.012991495602852043,12991.495602852043,5196.598241140818,3247.8739007130107,1948.7243404278063,2598.299120570409
 Kerala,LOW,0.111353,1,0,-2.21402,0.013077191576062774,13077.191576062774,5230.87663042511,3269.2978940156936,1961.578736409416,2615.438315212555
 Kerala,HIGH,0.110792,74,11,-1.83145,0.012483534667699605,12483.534667699605,4993.413867079842,3120.8836669249013,1872.5302001549408,2496.706933539921
 Kerala,LOW,0.110495,2,0,-2.17341,0.012941570464223834,12941.570464223834,5176.628185689534,3235.3926160559586,1941.235569633575,2588.314092844767
 Kerala,LOW,0.105848,29,0,-1.95343,0.012293050412320945,12293.050412320945,4917.220164928378,3073.262603080236,1843.9575618481417,2458.610082464189
 Kerala,MEDIUM,0.103928,62,7,1.636,0.011607279863520231,11607.27986352023,4642.911945408093,2901.8199658800577,1741.0919795280345,2321.4559727040464
 Kerala,LOW,0.102655,6,0,-1.80229,0.011681723859294958,11681.723859294958,4672.689543717984,2920.4309648237395,1752.2585788942436,2336.344771858992
 Kerala,LOW,0.102645,1,0,-1.8018,0.011660110645501938,11660.110645501938,4664.044258200775,2915.0276613754845,1749.0165968252907,2332.0221291003877
 Kerala,LOW,0.098769,11,0,-1.61836,0.011069351149706945,11069.351149706945,4427.740459882778,2767.337787426736,1660.4026724560417,2213.870229941389
 Kerala,LOW,0.090343,1,0,-1.21951,0.00965832295138954,9658.32295138954,3863.3291805558165,2414.580737847385,1448.748442708431,1931.6645902779082
 Kerala,LOW,0.085193,13,0,-0.97571,0.008868091944529784,8868.091944529784,3547.2367778119137,2217.022986132446,1330.2137916794675,1773.6183889059569
 Kerala,LOW,0.081765,5,0,-0.81343,0.00827831844867137,8278.31844867137,3311.3273794685483,2069.5796121678427,1241.7477673007056,1655.6636897342742
 Kerala,LOW,0.081127,3,0,-0.78322,0.008166496186146099,8166.496186146099,3266.59847445844,2041.6240465365247,1224.9744279219149,1633.29923722922
 Kerala,LOW,0.080465,2,0,-0.75188,0.008054772424695095,8054.772424695095,3221.908969878038,2013.6931061737737,1208.2158637042642,1610.954484939019
 Kerala,LOW,0.072706,1,0,-0.38462,0.006788226113935496,6788.226113935496,2715.2904455741987,1697.056528483874,1018.2339170903243,1357.6452227870993
 Kerala,LOW,0.06272,14,2,0.152819,0.005829055415604922,5829.055415604922,2331.622166241969,1457.2638539012305,874.3583123407383,1165.8110831209844
 Kerala,LOW,0.053592,2,0,0.520183,0.0062629238790378634,6262.923879037863,2505.1695516151453,1565.7309697594658,939.4385818556794,1252.5847758075727
 Kerala,LOW,0.0452,6,0,0.917431,0.006884400635316555,6884.400635316555,2753.7602541266224,1721.1001588291388,1032.6600952974832,1376.8801270633112
 Kerala,LOW,0.044211,2,0,0.964223,0.006939746701113223,6939.746701113223,2775.8986804452893,1734.9366752783058,1040.9620051669833,1387.9493402226447
 Kerala,LOW,0.021342,2,0,2.046784,0.00858990465291745,8589.90465291745,3435.9618611669803,2147.4761632293626,1288.4856979376175,1717.9809305834901
